name,price,url,timestamp,cpu_name,cpu_score,gpu_name,gpu_score,ram_gb,ssd_gb,combined_score
"Apple MacBook Air 15.3"" (M4/16GB/512GB) Midnight",1574.89,https://www.skroutz.gr/s/59427130/Apple-MacBook-Air-15-3-IPS-Retina-Display-M4-10-Core-16GB-512GB-SSD-10-Core-GPU-me-Fortisti-35W-Dual-Port-Midnight-International-English-Keyboard.html,2026-07-05 02:43:57,Apple M4,100,Apple M4 GPU (10-core),55,16,512,77.5
"Apple MacBook Air 13.6"" (M4)",986.14,https://www.skroutz.gr/s/59213893/Apple-MacBook-Air-13-6-IPS-Retina-Display-M4-10-Core-16GB-256GB-SSD-8-Core-GPU-me-Fortisti-35W-Dual-Port-Starlight-International-English-Keyboard.html,2026-07-05 02:43:57,Apple M4,100,Apple M4 GPU (10-core),55,0,0,77.5
"Gigabyte Gaming A16 16"" (Ryzen 7-260/16GB/512GB)",1274.05,https://www.skroutz.gr/s/62517574/gigabyte-gaming-a16-16-ips-fhd-165hz-ryzen-7-260-16gb-512gb-ssd-geforce-rtx-5060-no-os-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,512,4.0
"Lenovo Ideapad 1 15AMN7 15.6"" (Ryzen 5-7520U/16GB)",499.0,https://www.skroutz.gr/s/56697802/Lenovo-IdeaPad-1-15AMN7-15-6-IPS-FHD-Ryzen-5-7520U-16GB-512GB-SSD-W11-S-Cloud-Grey-GR-Keyboard.html,2026-07-05 02:43:57,AMD Ryzen 5 7520U,38,Integrated Graphics,18,16,0,28.0
"HP ProBook 460 G11 16"" (Ultra 7-155U/16GB/512GB)",1125.96,https://www.skroutz.gr/s/66146164/hp-probook-460-g11-16-ips-fhd-ultra-7-155u-16gb-512gb-ssd-w11-pro-international-english-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 7 155U,82,Integrated Graphics,15,16,512,48.5
"Asus Vivobook Go 15 15.6"" (Ryzen 5)",449.15,https://www.skroutz.gr/s/66449793/asus-vivobook-go-15-e1504fa-ws51-15-6-fhd-ryzen-5-40-8gb-512gb-ssd-w11-home-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Asus V16 16"" (Core 7-240H/16GB/1TB)",1195.83,https://www.skroutz.gr/s/62538956/asus-v16-v3607vh-rp010-16-ips-fhd-core-7-240h-16gb-1tb-ssd-geforce-rtx-5050-no-os-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,1000,4.0
"Lenovo LOQ 15ARP9 15.6"" (Ryzen 7-7435HS)",999.0,https://www.skroutz.gr/s/55358491/Lenovo-LOQ-15ARP9-15-6-IPS-FHD-144Hz-Ryzen-7-7435HS-16GB-512GB-SSD-GeForce-RTX-4050-W11-Home-Luna-Grey-GR-Keyboard.html,2026-07-05 02:43:57,AMD Ryzen 7 7435HS,0,Integrated Graphics,18,0,0,9.0
"Lenovo IdeaPad Slim 3 15AMN8 15.6"" (Ryzen 5)",413.65,https://www.skroutz.gr/s/67367316/lenovo-ideapad-slim-3-15amn8-15-6-ips-fhd-ryzen-5-40-8gb-512gb-ssd-no-os-arctic-grey-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"HP Victus 15-fb3701nv 15.6"" (Ryzen 5-8645HS/16GB/512GB)",829.0,https://www.skroutz.gr/s/61566418/hp-victus-15-fb3701nv-15-6-ips-fhd-144hz-ryzen-5-8645hs-16gb-512gb-ssd-geforce-rtx-3050-w11-home-gr-keyboard.html,2026-07-05 02:43:57,AMD Ryzen 5 8645HS,0,Integrated Graphics,18,16,512,9.0
"Acer Nitro V AI ANV16-42 16"" (Ryzen 7-260/32GB/1TB)",1699.0,https://www.skroutz.gr/s/63030104/acer-nitro-v-ai-anv16-42-r9e4-16-ips-fhd-180hz-ryzen-7-260-32gb-1tb-ssd-geforce-rtx-5070-w11-home-gr-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,1000,4.0
"Lenovo IdeaPad Slim 3 15"" (i5-1335U/16GB/512GB)",599.0,https://www.skroutz.gr/s/62032678/lenovo-ideapad-slim-3-15-ips-fhd-i5-1335u-16gb-512gb-ssd-w11-home-gr-keyboard.html,2026-07-05 02:43:57,Intel Core i5-1335U,70,Integrated Graphics,15,16,512,42.5
"Asus ROG Strix G16 16"" (Ultra 9-275HX/32GB/1TB)",2099.0,https://www.skroutz.gr/s/61346574/asus-rog-strix-g16-g615lp-s5016w-16-qhd-240hz-ultra-9-275hx-32gb-1tb-ssd-geforce-rtx-5070-w11-home-eclipse-gray-gr-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 9 275HX,0,Integrated Graphics,15,32,1000,7.5
"Lenovo IdeaPad Slim 3 15.6"" (i3-1315U/8GB/512GB)",469.01,https://www.skroutz.gr/s/62038262/lenovo-ideapad-slim-3-15-6-ips-fhd-i3-1315u-8gb-512gb-ssd-w11-s-gr-keyboard.html,2026-07-05 02:43:57,Intel Core i3-1315U,50,Integrated Graphics,8,8,512,29.0
"Apple MacBook Air 15.3"" (M4)",1148.88,https://www.skroutz.gr/s/59037755/Apple-MacBook-Air-15-3-IPS-Retina-Display-M4-10-Core-16GB-256GB-SSD-10-Core-GPU-me-Fortisti-35W-Dual-Port-Silver-GR-Keyboard.html,2026-07-05 02:43:57,Apple M4,100,Apple M4 GPU (10-core),55,0,0,77.5
"Apple MacBook Air 13.6"" (2022) (M2)",877.3,https://www.skroutz.gr/s/58153565/Apple-MacBook-Air-13-6-2022-IPS-Retina-Display-M2-8-Core-16GB-256GB-SSD-8-Core-GPU-Midnight-International-English-Keyboard.html,2026-07-05 02:43:57,Apple M2,80,Apple M2 GPU (10-core),40,0,0,60.0
"Asus Vivobook 15 15.6"" (i7-1355U/16GB/512GB)",699.0,https://www.skroutz.gr/s/47847191/Asus-Vivobook-15-X1504VA-BQ721W-15-6-FHD-i7-1355U-16GB-512GB-SSD-W11-Home-Quiet-Blue-US-Keyboard.html,2026-07-05 02:43:57,Intel Core i7-1355U,75,Integrated Graphics,15,16,512,45.0
"Lenovo Yoga 7 2-in-1 14AKP10 14"" (Ryzen AI 300)",912.98,https://www.skroutz.gr/s/64633553/lenovo-yoga-7-2-in-1-14akp10-14-oled-fhd-touchscreen-ryzen-ai-300-series-5-340-16gb-512gb-ssd-w11-home-tidal-teal-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Lenovo LOQ 15IRX10 15.6"" (i7)",1239.21,https://www.skroutz.gr/s/64431642/lenovo-loq-15irx10-15-6-ips-fhd-144hz-i7-13650hx-16gb-512gb-ssd-geforce-rtx-5060-w11-home-luna-grey-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Lenovo Legion 5 15IAX10 15.1"" (Ultra 7)",1555.26,https://www.skroutz.gr/s/62997689/lenovo-legion-5-15iax10-15-1-oled-qhd-165hz-ultra-7-255hx-16gb-512gb-ssd-geforce-rtx-5060-w11-home-us-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Asus Vivobook 16 16"" (Snapdragon-X X1-26-100/16GB/512GB)",587.0,https://www.skroutz.gr/s/59062443/Asus-Vivobook-16-X1607QA-MB046W-16-FHD-Snapdragon-X-X1-26-100-16GB-512GB-SSD-W11-Home-Quiet-Blue-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,512,4.0
"Lenovo LOQ 15AHP10 15.6"" (Ryzen 7-250)",1099.0,https://www.skroutz.gr/s/63809788/lenovo-loq-15ahp10-15-6-ips-fhd-144hz-ryzen-7-250-16gb-1tb-ssd-geforce-rtx-5050-w11-home-gr-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,0,0,4.0
"Acer Nitro V AI ANV16-42 16"" (Ryzen 7-260/32GB/1TB)",1727.75,https://www.skroutz.gr/s/63030104/acer-nitro-v-ai-anv16-42-r9e4-16-ips-fhd-180hz-ryzen-7-260-32gb-1tb-ssd-geforce-rtx-5070-w11-home-gr-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,1000,4.0
"Asus V16 16"" (Core 5-210H/16GB/512GB)",879.0,https://www.skroutz.gr/s/63002121/asus-v16-v3607vu-rp038w-16-fhd-144hz-core-5-210h-16gb-512gb-ssd-geforce-rtx-4050-w11-home-gr-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,512,4.0
"Asus Zenbook A14 OLED 14"" (Snapdragon-X Elite X1E-78-100/32GB/1TB)",1228.15,https://www.skroutz.gr/s/58591291/Asus-Zenbook-A14-OLED-14-FHD-Snapdragon-X-Elite-X1E-78-100-32GB-1TB-SSD-W11-Home-Zumaia-Gray-GR-Keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,32,1000,4.0
"Lenovo Legion 5 15IAX10 15.1"" (Ultra 9-275HX/32GB/1TB)",2149.0,https://www.skroutz.gr/s/63163620/lenovo-legion-5-15iax10-15-1-oled-qhd-165hz-ultra-9-275hx-32gb-1tb-ssd-geforce-rtx-5070-w11-home-us-keyboard.html,2026-07-05 02:43:57,Intel Core Ultra 9 275HX,0,Integrated Graphics,15,32,1000,7.5
"Lenovo IdeaPad Slim 3 15.3"" (Ryzen 7/16GB)",729.0,https://www.skroutz.gr/s/62038449/lenovo-ideapad-slim-3-15-3-ips-fhd-ryzen-7-7735hs-16gb-1-0tb-ssd-w11-home-gr-keyboard.html,2026-07-05 02:43:57,,0,Integrated Graphics,8,16,0,4.0
